#s_m,x_m,y_m, psi_rad, kappa_radpm,vx_mps, ax_mps2,heading,ld_m
0.0,-0.5336119,-0.6220398,2.4497386,-1.99e-05,8.0,0.0,2.4497366947960315,2.0
0.199986,-0.6876137,-0.4944553,2.4497349,-1.79e-05,8.0,0.0,2.4497334274269837,2.0
0.399972,-0.8416152,-0.3668702,2.4497315,-1.59e-05,8.0,0.0,2.4497299071022134,2.0
0.599958,-0.9956162,-0.2392846,2.4497285,-1.4e-05,8.0,0.0,2.449726705785171,2.0
0.799944,-1.1496168,-0.1116985,2.4497259,-1.21e-05,8.0,0.0,2.4497252976542656,2.0
0.99993,-1.3036172,0.0158878,2.4497237,-1.02e-05,8.0,0.0,2.449722415348835,2.0
1.199916,-1.4576173,0.1434746,2.4497218,-8.3e-06,8.0,0.0,2.449721392271464,2.0
1.399902,-1.6116172,0.2710615,2.4497203,-6.4e-06,8.0,0.0,2.4497195990863863,2.0
1.5998879,-1.7656169,0.3986487,2.4497193,-4.5e-06,8.0,0.0,2.4497188950205424,0.6
1.7998739,-1.9196165,0.526236,2.4497186,-2.6e-06,8.0,0.0,2.449718190954604,0.6
1.9998599,-2.073616,0.6538234,2.4497182,-7e-07,8.0,0.0,2.4497181909546057,0.6
2.1998459,-2.2276155,0.7814108,2.4497183,1.1e-06,8.0,0.0,2.4497188950205406,0.6
2.3998319,-2.3816151,0.9089981,2.4497187,2.9e-06,8.0,0.0,2.4497188950205424,0.6
2.5998179,-2.5356147,1.0365854,2.4497194,4.8e-06,8.0,0.0,2.449719918098916,0.6
2.7998039,-2.6896145,1.1641726,2.4497206,6.6e-06,8.0,0.0,2.4497213922714636,0.6
2.9997899,-2.8436144,1.2917595,2.4497221,8.4e-06,8.0,0.0,2.449722800402901,0.6
3.1997759,-2.9976145,1.4193462,2.4497239,1.02e-05,8.0,0.0,2.4497252976542656,0.6
3.3997619,-3.1516149,1.5469325,2.4497262,1.2e-05,8.0,0.0,2.4497274098504827,0.6
3.5997479,-3.3056156,1.6745185,2.4497288,1.38e-05,8.0,0.0,2.449729907102214,0.6
3.7997339,-3.4596166,1.8021041,2.4497317,1.56e-05,8.0,0.0,2.449733812484575,0.6
3.9997199,-3.6136181,1.9296891,2.449735,1.74e-05,8.0,0.0,2.449736628743513,0.6
4.1997059,-3.76762,2.0572737,2.4497386,1.91e-05,8.0,0.0,2.4497406001799913,0.6
4.3996919,-3.9216223,2.1848576,2.4497426,2.09e-05,8.0,0.0,2.449744824566961,0.6
4.5996779,-4.0756252,2.3124409,2.449747,2.26e-05,8.0,0.0,2.449749048950582,0.6
4.7996638,-4.2296287,2.4400236,2.4497517,2.43e-05,8.0,0.0,2.4497544285228465,0.6
4.9996498,-4.3836328,2.5676054,2.4497567,2.61e-05,8.0,0.0,2.449759356966449,0.6
5.1996358,-4.5376376,2.6951865,2.4497621,2.78e-05,8.0,0.0,2.4497650555402926,0.6
5.3996218,-4.6916431,2.8227667,2.4497678,2.95e-05,8.0,0.0,2.4497707541161304,0.6
5.5996078,-4.8456493,2.950346,2.4497739,3.12e-05,8.0,0.0,2.4497767716847227,0.6
5.7995938,-4.9996563,3.0779244,2.4497803,3.28e-05,8.0,0.0,2.4497838783857224,0.6
5.9995798,-5.1536642,3.2055017,2.449787,3.45e-05,8.0,0.0,2.4497902810261754,0.6
6.1995658,-5.3076729,3.333078,2.4497941,3.62e-05,8.0,0.0,2.4497980917895625,0.6
6.3995518,-5.4616826,3.4606531,2.4498015,3.78e-05,8.0,0.0,2.4498051984924047,0.6
6.5995378,-5.6156932,3.5882271,2.4498092,3.95e-05,8.0,0.0,2.449813328232204,0.6
6.7995238,-5.7697049,3.7157999,2.4498173,4.11e-05,8.0,0.0,2.4498215240775756,0.6
6.9995098,-5.9237176,3.8433714,2.4498257,4.28e-05,8.0,0.0,2.4498300388980248,0.6
7.1994958,-6.0777314,3.9709416,2.4498344,4.44e-05,8.0,0.0,2.4498389388081034,0.6
7.3994818,-6.2317463,4.0985104,2.4498434,4.6e-05,8.0,0.0,2.4498481576855444,0.6
7.5994678,-6.3857624,4.2260778,2.4498528,4.76e-05,8.0,0.0,2.4498577616572716,0.6
7.7994538,-6.5397797,4.3536437,2.4498624,4.92e-05,8.0,0.0,2.449866980531848,0.6
7.9994397,-6.6937982,4.4812082,2.4498724,5.08e-05,8.0,0.0,2.4498779926176306,0.6
8.1994257,-6.8478181,4.608771,2.4498827,5.23e-05,8.0,0.0,2.4498875965945945,0.6
8.3994117,-7.0018392,4.7363323,2.4498934,5.39e-05,8.0,0.0,2.449898927626813,0.6
8.5993977,-7.1558618,4.8638919,2.4499043,5.54e-05,8.0,0.0,2.4499103248257312,0.6
8.7993837,-7.3098858,4.9914497,2.4499155,5.7e-05,8.0,0.0,2.4499209517974525,0.6
8.9993697,-7.4639112,5.1190059,2.4499271,5.85e-05,8.0,0.0,2.4499330530566303,0.6
9.1993557,-7.6179381,5.2465602,2.4499389,6.01e-05,8.0,0.0,2.4499450881233713,0.6
9.3993417,-7.7719666,5.3741127,2.4499511,6.16e-05,8.0,0.0,2.449957189387705,0.6
9.5993277,-7.9259966,5.5016633,2.4499636,6.31e-05,8.0,0.0,2.449969994708345,0.6
9.7993137,-8.0800282,5.6292119,2.4499763,6.46e-05,8.0,0.0,2.4499831189458594,0.6
9.9992997,-8.2340615,5.7567585,2.4499894,6.61e-05,8.0,0.0,2.4499962431789357,0.6
10.1992857,-8.3880965,5.8843031,2.4500028,6.76e-05,8.0,0.0,2.4500090485064536,0.6
10.3992717,-8.5421331,6.0118457,2.4500164,6.9e-05,8.0,0.0,2.4500235808271063,0.6
10.5992577,-8.6961716,6.1393861,2.4500304,7.05e-05,8.0,0.0,2.450037475358789,0.6
10.7992437,-8.8502118,6.2669243,2.4500446,7.19e-05,8.0,0.0,2.450052007673253,0.6
10.9992296,-9.0042539,6.3944603,2.4500591,7.34e-05,8.0,0.0,2.4500665399789323,0.6
11.1992156,-9.1582979,6.5219941,2.450074,7.48e-05,8.0,0.0,2.450081523739416,0.6
11.3992016,-9.3123437,6.6495255,2.4500891,7.63e-05,8.0,0.0,2.4500967600831545,0.6
11.5991876,-9.4663915,6.7770546,2.4501045,7.77e-05,8.0,0.0,2.4501123815939136,0.6
11.7991736,-9.6204413,6.9045813,2.4501201,7.91e-05,8.0,0.0,2.4501280031031007,0.6
11.9991596,-9.7744931,7.0321056,2.4501361,8.05e-05,8.0,0.0,2.4501443286483013,0.6
12.1991456,-9.928547,7.1596274,2.4501523,8.19e-05,8.0,0.0,2.4501603353468306,0.6
12.3991316,-10.0826029,7.2871467,2.4501689,8.33e-05,8.0,0.0,2.4501773649261565,0.6
12.5991176,-10.236661,7.4146634,2.4501856,8.46e-05,8.0,0.0,2.4501940756693545,0.6
12.7991036,-10.3907212,7.5421775,2.4502027,8.6e-05,8.0,0.0,2.4502114904527104,0.6
12.9990896,-10.5447836,7.6696889,2.45022,8.74e-05,8.0,0.0,2.450228838841658,0.6
