# x, y, psi, w_tr_right, w_tr_left
-50.541,14.702,5.147,1.089,1.089
-50.425,14.470,5.185,1.089,1.089
-50.309,14.238,5.172,1.113,1.113
-50.194,14.006,5.184,1.094,1.094
-50.078,13.774,5.147,1.089,1.089
-49.962,13.543,5.286,1.089,1.089
-49.788,13.311,5.285,1.089,1.089
-49.672,13.079,5.147,1.089,1.089
-49.556,12.847,5.182,1.113,1.113
-49.440,12.615,5.182,1.094,1.094
-49.324,12.383,5.147,1.089,1.089
-49.208,12.152,5.286,1.089,1.089
-49.034,11.920,5.283,1.089,1.089
-48.918,11.688,5.155,1.113,1.113
-48.803,11.456,5.152,1.089,1.089
-48.687,11.224,5.291,1.078,1.078
-48.513,10.992,5.254,1.094,1.094
-48.397,10.761,5.260,1.089,1.089
-48.223,10.529,5.272,1.094,1.094
-48.107,10.297,5.220,1.094,1.094
-47.933,10.065,5.421,1.094,1.094
-47.759,9.833,5.228,1.078,1.078
-47.643,9.601,5.242,1.094,1.094
-47.469,9.370,5.378,1.094,1.094
-47.295,9.138,5.379,1.094,1.094
-47.122,8.906,5.239,1.078,1.078
-47.006,8.674,5.237,1.094,1.094
-46.832,8.442,5.388,1.094,1.094
-46.658,8.210,5.347,1.107,1.107
-46.484,7.978,5.360,1.094,1.094
-46.310,7.747,5.347,1.094,1.094
-46.136,7.515,5.388,1.078,1.078
-45.962,7.283,5.237,1.078,1.078
-45.846,7.051,5.237,1.094,1.094
-45.673,6.819,5.387,1.094,1.094
-45.499,6.587,5.347,1.107,1.107
-45.325,6.356,5.360,1.094,1.094
-45.151,6.124,5.347,1.094,1.094
-44.977,5.892,5.388,1.078,1.078
-44.803,5.660,5.237,1.078,1.078
-44.687,5.428,5.237,1.094,1.094
-44.513,5.196,5.387,1.094,1.094
-44.340,4.965,5.347,1.107,1.107
-44.166,4.733,5.361,1.094,1.094
-43.992,4.501,5.347,1.094,1.094
-43.818,4.269,5.388,1.078,1.078
-43.644,4.037,5.237,1.078,1.078
-43.528,3.805,5.237,1.094,1.094
-43.354,3.574,5.387,1.094,1.094
-43.180,3.342,5.347,1.107,1.107
-43.007,3.110,5.361,1.094,1.094
-42.833,2.878,5.347,1.094,1.094
-42.659,2.646,5.388,1.078,1.078
-42.485,2.414,5.237,1.078,1.078
-42.369,2.182,5.237,1.094,1.094
-42.195,1.951,5.387,1.107,1.107
-42.021,1.719,5.349,1.107,1.107
-41.847,1.487,5.350,1.094,1.094
-41.673,1.255,5.387,1.094,1.094
-41.499,1.023,5.237,1.078,1.078
-41.384,0.791,5.237,1.094,1.094
-41.210,0.560,5.387,1.094,1.094
-41.036,0.328,5.350,1.094,1.094
-40.862,0.096,5.350,1.094,1.094
-40.688,-0.136,5.387,1.078,1.078
-40.514,-0.368,5.238,1.078,1.078
-40.398,-0.600,5.236,1.094,1.094
-40.224,-0.832,5.390,1.107,1.107
-40.050,-1.063,5.339,1.094,1.094
-39.877,-1.295,5.389,1.078,1.078
-39.703,-1.527,5.237,1.078,1.078
-39.587,-1.759,5.237,1.094,1.094
-39.413,-1.991,5.387,1.094,1.094
-39.239,-2.223,5.348,1.107,1.107
-39.065,-2.454,5.358,1.107,1.107
-38.891,-2.686,5.356,1.107,1.107
-38.717,-2.918,5.356,1.107,1.107
-38.544,-3.150,5.356,1.094,1.094
-38.370,-3.382,5.356,1.094,1.094
-38.196,-3.614,5.356,1.094,1.094
-38.022,-3.845,5.355,1.094,1.094
-37.848,-4.077,5.358,1.094,1.094
