# x, y, psi, w_tr_right, w_tr_left
-8.150,4.390,4.800,1.874,1.874
-8.100,4.090,4.821,1.853,1.853
-8.100,3.790,4.683,1.850,1.850
-8.100,3.490,4.720,1.850,1.850
-8.100,3.190,4.710,1.850,1.850
-8.100,2.890,4.714,1.851,1.851
-8.100,2.590,4.709,1.850,1.850
-8.100,2.290,4.725,1.850,1.850
-8.100,1.990,4.665,1.850,1.850
-8.100,1.690,4.894,1.850,1.850
-8.000,1.390,4.982,1.801,1.801
-7.950,1.090,4.903,1.785,1.785
-7.850,0.790,5.139,1.773,1.773
-7.700,0.490,5.166,1.750,1.750
-7.500,0.190,5.677,1.450,1.450
-7.200,0.090,5.991,1.346,1.346
-6.900,-0.010,6.108,1.201,1.201
-6.600,-0.010,0.045,1.200,1.200
-6.300,-0.010,6.271,1.200,1.200
-6.000,-0.010,0.003,1.200,1.200
-5.700,-0.010,6.282,1.200,1.200
-5.400,-0.010,0.000,1.200,1.200
-5.100,-0.010,6.283,1.200,1.200
-4.800,-0.010,0.000,1.200,1.200
-4.500,-0.010,6.283,1.200,1.200
-4.200,-0.010,0.002,1.226,1.226
-3.900,-0.010,6.276,1.250,1.250
-3.600,-0.010,0.028,1.250,1.250
-3.300,-0.010,6.179,1.250,1.250
-3.000,-0.060,6.178,1.250,1.250
-2.700,-0.060,0.030,1.251,1.251
-2.400,-0.060,6.268,1.298,1.298
-2.100,-0.060,0.030,1.300,1.300
-1.800,-0.060,6.178,1.298,1.298
-1.500,-0.110,6.179,1.300,1.300
-1.200,-0.110,0.028,1.300,1.300
-0.900,-0.110,6.276,1.266,1.266
-0.600,-0.110,0.001,1.251,1.251
-0.300,-0.110,0.002,1.298,1.298
0.000,-0.110,6.276,1.300,1.300
0.300,-0.110,0.028,1.300,1.300
0.600,-0.110,6.177,1.300,1.300
0.900,-0.160,6.187,1.300,1.300
1.200,-0.160,6.283,1.300,1.300
1.500,-0.160,0.099,1.300,1.300
1.800,-0.110,0.097,1.300,1.300
2.100,-0.110,0.007,1.300,1.300
2.400,-0.110,6.159,1.300,1.300
2.700,-0.160,6.281,1.254,1.254
3.000,-0.110,0.131,1.300,1.300
3.300,-0.110,6.250,1.266,1.266
3.600,-0.110,0.002,1.250,1.250
3.900,-0.110,0.025,1.250,1.250
4.200,-0.110,6.180,1.250,1.250
4.500,-0.160,6.177,1.200,1.200
4.800,-0.160,0.035,1.200,1.200
5.100,-0.160,6.248,1.226,1.226
5.400,-0.160,0.106,1.250,1.250
5.700,-0.110,0.104,1.200,1.200
6.000,-0.110,6.254,1.200,1.200
6.300,-0.110,0.013,1.201,1.201
6.600,-0.110,6.260,1.209,1.209
6.900,-0.110,0.082,1.259,1.259
7.200,-0.060,0.188,1.350,1.350
7.500,0.040,0.658,1.450,1.450
7.650,0.290,1.293,1.700,1.700
7.700,0.590,1.418,1.645,1.645
7.750,0.890,1.471,1.619,1.619
7.750,1.190,1.630,1.600,1.600
7.750,1.490,1.433,1.603,1.603
7.800,1.790,1.571,1.698,1.698
7.750,2.090,1.709,1.650,1.650
7.750,2.390,1.508,1.650,1.650
7.750,2.690,1.685,1.650,1.650
7.700,2.990,1.672,1.600,1.600
7.700,3.290,1.544,1.600,1.600
7.700,3.590,1.576,1.600,1.600
7.700,3.890,1.577,1.600,1.600
7.700,4.190,1.542,1.600,1.600
7.700,4.490,1.681,1.628,1.628
7.650,4.790,1.654,1.600,1.600
7.650,5.090,1.622,1.600,1.600
7.600,5.390,1.774,1.579,1.579
7.550,5.690,1.696,1.615,1.615
7.500,5.990,1.851,1.700,1.700
7.300,6.290,2.652,1.400,1.400
7.000,6.340,3.042,1.350,1.350
6.700,6.390,3.010,1.259,1.259
6.400,6.390,3.273,1.250,1.250
6.100,6.340,3.237,1.204,1.204
5.800,6.340,3.121,1.200,1.200
5.500,6.340,3.130,1.237,1.237
5.200,6.340,3.211,1.250,1.250
4.900,6.290,3.371,1.251,1.251
4.600,6.190,3.617,1.350,1.350
4.300,5.940,4.013,1.579,1.579
4.100,5.640,4.212,1.709,1.709
3.900,5.340,3.873,1.825,1.825
3.650,5.190,3.635,2.055,2.055
3.350,4.990,3.809,2.277,2.277
3.050,4.740,3.822,2.393,2.393
2.750,4.440,4.203,2.300,2.300
2.600,4.140,3.982,2.000,2.000
2.350,3.990,3.595,1.850,1.850
2.050,3.840,3.511,1.700,1.700
1.750,3.740,3.553,1.600,1.600
1.450,3.590,3.467,1.450,1.450
1.150,3.540,3.285,1.383,1.383
0.850,3.490,3.235,1.300,1.300
0.550,3.490,3.117,1.300,1.300
0.250,3.490,3.148,1.300,1.300
-0.050,3.490,3.141,1.298,1.298
-0.350,3.490,3.136,1.251,1.251
-0.650,3.490,3.164,1.250,1.250
-0.950,3.490,3.056,1.254,1.254
-1.250,3.540,2.968,1.350,1.350
-1.550,3.590,2.930,1.400,1.400
-1.850,3.690,2.704,1.500,1.500
-2.150,3.890,2.390,1.662,1.662
-2.350,4.140,2.115,1.900,1.900
-2.500,4.440,1.998,2.136,2.136
-2.650,4.740,2.100,2.147,2.147
-2.850,5.040,2.174,2.140,2.140
-3.050,5.340,2.158,2.072,2.072
-3.300,5.640,2.473,1.834,1.834
-3.600,5.790,2.825,1.700,1.700
-3.900,5.890,2.717,1.600,1.600
-4.200,6.040,2.812,1.450,1.450
-4.500,6.090,3.025,1.408,1.408
-4.800,6.140,2.943,1.400,1.400
-5.100,6.190,3.063,1.350,1.350
-5.400,6.190,3.163,1.365,1.365
-5.700,6.190,3.136,1.315,1.315
-6.000,6.190,3.142,1.300,1.300
-6.300,6.190,3.144,1.334,1.334
-6.600,6.190,3.130,1.400,1.400
-6.900,6.190,3.186,1.400,1.400
-7.200,6.140,3.476,1.450,1.450
-7.500,5.990,3.616,1.600,1.600
-7.800,5.790,4.120,1.785,1.785
-7.900,5.490,4.359,1.879,1.879
-8.050,5.190,4.366,1.916,1.916
-8.100,4.890,4.592,1.911,1.911
