# x, y, psi, w_tr_right, w_tr_left
-0.200,3.340,4.441,1.324,1.324
-0.300,3.040,4.293,1.320,1.320
-0.500,2.740,3.949,1.188,1.188
-0.800,2.540,3.463,1.069,1.069
-1.100,2.490,3.261,1.079,1.079
-1.400,2.440,3.338,1.069,1.069
-1.700,2.390,3.229,1.061,1.061
-2.000,2.390,3.091,1.050,1.050
-2.300,2.390,3.260,1.005,1.005
-2.600,2.340,3.214,1.069,1.069
-2.900,2.340,3.226,1.079,1.079
-3.200,2.290,3.225,1.100,1.100
-3.500,2.290,3.214,1.100,1.100
-3.800,2.240,3.259,1.101,1.101
-4.100,2.240,3.092,1.100,1.100
-4.400,2.240,3.224,1.100,1.100
-4.700,2.190,3.357,1.150,1.150
-5.000,2.140,3.189,1.150,1.150
-5.300,2.140,3.231,1.167,1.167
-5.600,2.090,3.230,1.160,1.160
-5.900,2.090,3.191,1.150,1.150
-6.200,2.040,3.348,1.160,1.160
-6.500,1.990,3.257,1.188,1.188
-6.800,1.940,3.469,1.259,1.259
-7.100,1.740,3.934,1.309,1.309
-7.300,1.490,4.096,1.304,1.304
-7.450,1.190,4.569,1.312,1.312
-7.400,0.890,5.052,1.204,1.204
-7.300,0.590,4.924,1.101,1.101
-7.250,0.290,4.976,1.107,1.107
-7.100,-0.010,5.296,1.110,1.110
-6.800,-0.310,5.893,0.985,0.985
-6.500,-0.360,6.154,0.985,0.985
-6.200,-0.410,6.186,0.950,0.950
-5.900,-0.410,0.024,0.950,0.950
-5.600,-0.410,6.282,0.950,0.950
-5.300,-0.410,6.265,0.950,0.950
-5.000,-0.410,0.075,0.912,0.912
-4.700,-0.360,0.210,0.950,0.950
-4.400,-0.310,0.074,0.971,0.971
-4.100,-0.310,6.270,0.962,0.962
-3.800,-0.310,6.261,0.950,0.950
-3.500,-0.310,0.101,0.950,0.950
-3.200,-0.260,0.112,1.000,1.000
-2.900,-0.260,6.228,1.000,1.000
-2.600,-0.260,0.112,1.001,1.001
-2.300,-0.210,0.100,1.092,1.092
-2.000,-0.210,6.264,1.100,1.100
-1.700,-0.210,6.261,1.100,1.100
-1.400,-0.210,0.110,1.100,1.100
-1.100,-0.160,0.077,1.105,1.105
-0.800,-0.160,0.075,1.079,1.079
-0.500,-0.110,0.117,1.100,1.100
-0.200,-0.110,6.234,1.100,1.100
0.100,-0.110,0.081,1.100,1.100
0.400,-0.060,0.220,1.150,1.150
0.700,-0.010,0.028,1.200,1.200
1.000,-0.010,0.162,1.200,1.200
1.300,0.090,0.272,1.286,1.286
1.600,0.140,0.201,1.298,1.298
1.900,0.240,0.379,1.200,1.200
2.200,0.340,0.213,1.100,1.100
2.500,0.390,0.223,1.050,1.050
2.800,0.490,0.347,0.950,0.950
3.100,0.590,0.318,0.850,0.850
3.400,0.690,0.311,0.750,0.750
3.700,0.790,0.368,0.667,0.667
4.000,0.940,0.569,0.602,0.602
4.300,1.190,0.815,0.531,0.531
4.550,1.490,0.883,0.495,0.495
4.750,1.790,1.243,0.450,0.450
4.800,2.090,1.382,0.403,0.403
4.900,2.390,1.198,0.412,0.412
5.000,2.690,1.319,0.450,0.450
5.050,2.990,1.496,0.500,0.500
5.050,3.290,1.626,0.500,0.500
5.000,3.590,1.924,0.461,0.461
4.850,3.890,1.963,0.403,0.403
4.750,4.190,1.989,0.427,0.427
4.550,4.490,2.193,0.403,0.403
4.400,4.790,1.801,0.430,0.430
4.350,5.090,1.885,0.500,0.500
4.150,5.390,2.268,0.604,0.604
3.900,5.690,2.301,0.673,0.673
3.650,5.940,2.402,0.716,0.716
3.350,6.190,2.497,0.806,0.806
3.050,6.390,2.615,0.886,0.886
2.750,6.540,2.743,0.962,0.962
2.450,6.640,2.913,1.050,1.050
2.150,6.690,2.999,1.100,1.100
1.850,6.740,2.950,1.150,1.150
1.550,6.790,3.061,1.200,1.200
1.250,6.790,3.163,1.200,1.200
0.950,6.790,3.136,1.200,1.200
0.650,6.790,3.143,1.200,1.200
0.350,6.790,3.141,1.154,1.154
0.050,6.790,3.141,1.150,1.150
-0.250,6.790,3.144,1.150,1.150
-0.550,6.790,3.132,1.101,1.101
-0.850,6.790,3.177,1.101,1.101
-1.150,6.790,3.010,1.118,1.118
-1.450,6.840,3.142,1.101,1.101
-1.750,6.790,3.273,1.092,1.092
-2.050,6.790,3.107,1.050,1.050
-2.350,6.790,3.150,1.050,1.050
-2.650,6.790,3.141,1.050,1.050
-2.950,6.790,3.135,1.044,1.044
-3.250,6.790,3.169,1.000,1.000
-3.550,6.790,3.037,0.996,0.996
-3.850,6.840,3.037,0.955,0.955
-4.150,6.840,3.169,0.950,0.950
-4.450,6.840,3.134,0.950,0.950
-4.750,6.840,3.143,0.950,0.950
-5.050,6.840,3.142,0.950,0.950
-5.350,6.840,3.140,0.950,0.950
-5.650,6.840,3.149,0.950,0.950
-5.950,6.840,3.112,0.950,0.950
-6.250,6.840,3.251,0.950,0.950
-6.550,6.790,3.225,0.905,0.905
-6.850,6.790,3.191,0.985,0.985
-7.150,6.740,3.349,0.962,0.962
-7.450,6.640,3.742,1.050,1.050
-7.650,6.390,4.179,1.253,1.253
-7.800,6.090,4.375,1.286,1.286
-7.850,5.790,4.734,1.300,1.300
-7.800,5.490,4.957,1.259,1.259
-7.700,5.190,5.174,1.235,1.235
-7.450,4.890,5.628,1.005,1.005
-7.150,4.740,6.020,0.912,0.912
-6.850,4.690,6.124,0.900,0.900
-6.550,4.640,6.194,0.900,0.900
-6.250,4.640,0.024,0.900,0.900
-5.950,4.640,6.276,0.900,0.900
-5.650,4.640,0.004,0.900,0.900
-5.350,4.640,6.276,0.900,0.900
-5.050,4.640,0.025,0.900,0.900
-4.750,4.640,6.188,0.863,0.863
-4.450,4.590,6.144,0.850,0.850
-4.150,4.590,0.159,0.850,0.850
-3.850,4.640,6.276,0.850,0.850
-3.550,4.590,6.154,0.838,0.838
-3.250,4.590,0.035,0.800,0.800
-2.950,4.590,6.274,0.800,0.800
-2.650,4.590,0.003,0.800,0.800
-2.350,4.590,6.282,0.800,0.800
-2.050,4.590,0.003,0.800,0.800
-1.750,4.590,6.273,0.800,0.800
-1.450,4.590,0.039,0.800,0.800
-1.150,4.590,6.134,0.800,0.800
-0.850,4.490,5.892,0.900,0.900
-0.550,4.340,5.636,1.001,1.001
-0.300,4.040,5.299,1.265,1.265
-0.150,3.740,4.908,1.354,1.354
